Iteration,Best_Clique_Size,Best_Clique
0,10,"[351, 462, 229, 37, 21, 479, 81, 339, 18, 181]"
1,10,"[351, 462, 229, 37, 21, 479, 81, 339, 18, 181]"
2,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
3,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
4,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
5,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
6,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
7,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
8,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
9,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
10,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
11,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
12,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
13,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
14,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
15,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
16,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
17,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
18,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
19,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
20,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
21,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
22,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
23,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
24,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
25,11,"[406, 378, 132, 151, 64, 423, 0, 141, 174, 230, 63]"
26,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
27,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
28,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
29,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
30,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
31,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
32,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
33,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
34,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
35,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
36,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
37,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
38,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
39,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
40,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
41,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
42,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
43,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
44,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
45,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
46,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
47,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
48,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
49,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
50,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
51,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
52,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
53,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
54,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
55,12,"[96, 213, 474, 146, 362, 285, 72, 26, 402, 445, 69, 237]"
56,13,"[349, 362, 353, 161, 192, 280, 199, 434, 190, 206, 248, 150, 100]"
