Iteration,Best_Clique_Size,Best_Clique
0,30,"[460, 341, 218, 498, 586, 392, 104, 372, 29, 247, 367, 512, 660, 607, 600, 121, 114, 635, 14, 75, 536, 558, 259, 118, 467, 281, 294, 86, 677, 53]"
1,31,"[18, 627, 485, 117, 281, 638, 583, 490, 144, 666, 150, 481, 524, 325, 534, 222, 316, 151, 253, 607, 260, 118, 131, 104, 188, 456, 592, 593, 349, 324, 648]"
2,32,"[392, 267, 536, 15, 278, 367, 666, 660, 68, 117, 349, 325, 147, 118, 151, 259, 121, 648, 114, 75, 53, 192, 586, 465, 76, 222, 294, 611, 78, 607, 104, 29]"
3,32,"[392, 267, 536, 15, 278, 367, 666, 660, 68, 117, 349, 325, 147, 118, 151, 259, 121, 648, 114, 75, 53, 192, 586, 465, 76, 222, 294, 611, 78, 607, 104, 29]"
4,32,"[392, 267, 536, 15, 278, 367, 666, 660, 68, 117, 349, 325, 147, 118, 151, 259, 121, 648, 114, 75, 53, 192, 586, 465, 76, 222, 294, 611, 78, 607, 104, 29]"
5,32,"[392, 267, 536, 15, 278, 367, 666, 660, 68, 117, 349, 325, 147, 118, 151, 259, 121, 648, 114, 75, 53, 192, 586, 465, 76, 222, 294, 611, 78, 607, 104, 29]"
6,32,"[392, 267, 536, 15, 278, 367, 666, 660, 68, 117, 349, 325, 147, 118, 151, 259, 121, 648, 114, 75, 53, 192, 586, 465, 76, 222, 294, 611, 78, 607, 104, 29]"
7,32,"[392, 267, 536, 15, 278, 367, 666, 660, 68, 117, 349, 325, 147, 118, 151, 259, 121, 648, 114, 75, 53, 192, 586, 465, 76, 222, 294, 611, 78, 607, 104, 29]"
8,32,"[392, 267, 536, 15, 278, 367, 666, 660, 68, 117, 349, 325, 147, 118, 151, 259, 121, 648, 114, 75, 53, 192, 586, 465, 76, 222, 294, 611, 78, 607, 104, 29]"
9,35,"[685, 222, 666, 75, 339, 106, 275, 150, 511, 86, 561, 378, 575, 614, 677, 396, 406, 367, 548, 147, 578, 29, 599, 117, 53, 289, 105, 386, 267, 356, 350, 14, 635, 322, 349]"
